TOEFL対策セミナー（リーディング＆ライティング）第一5,教科書,"Lucas, 川端,　鈴木. 『TOEFL iBTテスト英語4技能完全対策演習』（松柏社, 2017）"
TOEFL対策セミナー（リーディング＆ライティング）第一5,教科書,"妻鳥, Stafford, 松井, 水本.『TOEFL TEST英単語スピードマスター(CD2枚付)』(Jリサーチ出版, 2006)"
環境安全論B,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
科学・技術の最前線c,教科書,特に定めない。
世界を知る：ヨーロッパ,教科書,なし。毎回レジュメを配布する。
線形代数学第一・演習K(68～73),教科書,村山光孝『工学のための線形代数』（数理工学社）
有機化学基礎J,教科書,理工系学生のための基礎化学　有機化学 2020年度版，鈴木他，化学同人
生命科学基礎第一１A,教科書,スター「生物学」（東京化学同人）
環境安全論B,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
東工大立志プロジェクト1,教科書,東工大立志プロジェクトガイドブック
経済学Ａ,教科書,特に指定しない。講義資料を配布する。
微分積分学第一・演習F(34～40),教科書,理工系の微分積分学・吹田信之，新保経彦・学術図書出版
微分積分学第一・演習L（74～80）,教科書,「入門微分積分」 三宅敏恒・培風館
環境安全論A,教科書,特になし。各担当教員に応じて講義資料をOCW-iにアップロードし配布予定。
教養特論：大学史,教科書,必要な資料は事前にOCW-iにアップする。
教育工学,教科書,"・松田稔樹, 星野敦子, 波多野和彦(2013)　学習者とともに取り組む授業改善－授業設計・教育の方法および技術・学習評価－, 学文社"
教育工学,教科書,"・松田稔樹, 星野敦子, 狩野浩二, 津吹卓(2012)　自ら学び考える教職教養－教育課程・制度・法規－, 学文社"
力学基礎１L,教科書,古典力学
社会モデリングＣ,教科書,なし
リカレント教育発展研修1A,教科書,特になし
文系エッセンス１７：心理学,教科書,なし。
修士キャリアデザインB2,教科書,市販教科書は使わず、担当教員が用意した内容を毎回講義資料としてOCW-iにアップする。
文系エッセンス３０：日本の詩,教科書,プリント
力学基礎１K,教科書,力学　戸田盛和
アカデミックライティング第十三1,教科書,"Glasman-Deal, Hilary. 2010. Science Research Writing: For Non-Native Speakers of English. London: Imperial College Press. (ISBN-13: 978-1-84816-31-2)"
サイエンティフィックコミュニケーション,教科書,無し
修士キャリアデザイン演習A2,教科書,指定なし
博士キャリアプランB,教科書,なし。
リーダーシップ・グループワーク基礎IS,教科書,随時授業内で示す
力学基礎１F,教科書,古典力学
国際関係論Ｃ,教科書,特になし。毎回レジュメを配布する。
情報リテラシ第一3b(IL1),教科書,なし
日本語会話中級31QA,教科書,指定しない。適宜資料を配布する。
力学基礎１C,教科書,プリントを使用します
力学基礎１I,教科書,サーウェイ基礎物理学〈1〉力学 
力学基礎１I,教科書,ISBN : 978-4807908301
力学基礎１I,教科書,
力学基礎１I,教科書,サーウェイ基礎物理学〈4〉力学・電磁気学演習
力学基礎１I,教科書,ISBN : 978-4807908332
東工大立志プロジェクト31,教科書,東工大立志プロジェクトガイドブック
国際文化論：アジア・アフリカ,教科書,特になし
心身のタフネス1,教科書,指定なし．
TOEFL対策セミナー（リスニング＆スピーキング）第一3,教科書,Get Ready for the TOEFL IBT: Listening and Reading
グローバル企業の研究開発実践論E,教科書,市販教科書は使わず、担当教員が用意した内容を毎回講義資料として活用する。
社会科学系ゼミ（心理学）導入１,教科書,なし
物理学演習第一o,教科書,授業で指定のもの
物理学演習第一j,教科書,授業で指定のもの
無機化学基礎H,教科書,理工系学生のための基礎化学　無機化学　2020年度版，植草他，化学同人
